Year,Class,Area_ha,Class_Value
2013,Waterbodies,32632.58263,1
2013,Vegetation,551222.0989,2
2013,Urban,220934.0408,3
2013,Cropland,214168.4682,4
2013,Barrenland,270525.0497,5
2017,Waterbodies,23792.72524,1
2017,Vegetation,317573.2699,2
2017,Urban,474948.5672,3
2017,Cropland,173676.6022,4
2017,Barrenland,299491.0757,5
2021,Waterbodies,17926.67355,1
2021,Vegetation,297517.7696,2
2021,Urban,548531.6414,3
2021,Cropland,170819.9014,4
2021,Barrenland,254686.2543,5
2024,Waterbodies,15996.93353,1
2024,Vegetation,290898.6836,2
2024,Urban,554865.6905,3
2024,Cropland,165809.5513,4
2024,Barrenland,261911.3812,5
2034,Waterbodies,"11,760.63",1
2034,Vegetation,"44,880.87",2
2034,Urban,"7,00,637.13",3
2034,Cropland,"93,393.55",4
2034,Barrenland,"	438,810.07",5
